EQ1.1
E
IPS1	2014.4613	0.00000
IPSA	2013.4237	0.00000
ISTI	2013.9877	0.00000
ISTN	2013.4237	0.00000
IZMI	2013.4209	0.00000
KAL1	2015.0281	0.00000
KAL2	2013.9877	0.00000
KATE	2013.4209	0.00000
KAV1	2013.4209	0.00000
KIKA	2013.4237	0.00000
KIRL	2013.4237	0.00000
KOMO	2013.9849	0.00000
KORI	2013.4209	0.00000
KRU1	2013.4209	0.00000
KRYO	2014.2615	0.00000
KYMI	2015.0418	0.00000
LEMN	2013.4209	0.00000
LES4	2015.0418	0.00000
LYGO	2015.0691	0.00000
MET0	2013.4209	0.00000
NOA1	2013.4209	0.00000
NVRK	2013.4209	0.00000
ORE1	2013.4209	0.00000
PRKV	2013.4209	0.00000
PRO2	2013.9849	0.00000
PTOL	2013.4209	0.00000
ROZH	2013.4209	0.00000
SALH	2013.4237	0.00000
SAN9	2013.4209	0.00000
SARY	2013.4237	0.00000
SERR	2013.9466	0.00000
SKOP	2013.4209	0.00000
SKYR	2013.4209	0.00000
SMOL	2013.9877	0.00000
SPET	2013.4209	0.00000
STRA	2013.4209	0.00000
SVIL	2013.4346	0.00000
SVRT	2013.4209	0.00000
SYRO	2013.9685	0.00000
TEKR	2013.4237	0.00000
THI1	2013.4209	0.00000
THS1	2013.9466	0.00000
VDVA	2013.4812	0.00000
VERI	2015.2060	0.00000
VOLO	2013.4209	0.00000
XIOS	2013.9466	0.00000
YENC	2013.4237	0.00000
YLDZ	2014.6229	0.00000
YSST	2013.4209	0.00000
N
AFYT	2013.9493	0.00000
ALE3	2015.0418	0.00000
ANAV	2013.4209	0.00000
ANDR	2013.4209	0.00000
ATAL	2013.4374	0.00000
AUT1	2013.4209	0.00000
AYD1	2013.4209	0.00000
AYVL	2013.4237	0.00000
BALK	2013.4237	0.00000
BAND	2013.4237	0.00000
BNDR	2014.1465	0.00000
CANA	2013.4237	0.00000
CESM	2013.4209	0.00000
DEIR	2013.4237	0.00000
DUTH	2013.4209	0.00000
DYNG	2013.4401	0.00000
EDES	2013.4209	0.00000
EDIR	2013.4237	0.00000
FLO2	2014.3792	0.00000
GOD1	2015.0445	0.00000
HALK	2013.4209	0.00000
HAR3	2014.4422	0.00000
IPS1	2014.4613	0.00000
IPSA	2013.4237	0.00000
ISTI	2013.9877	0.00000
ISTN	2013.4237	0.00000
IZMI	2013.4209	0.00000
KAL1	2015.0281	0.00000
KAL2	2013.9877	0.00000
KATE	2013.4209	0.00000
KAV1	2013.4209	0.00000
KIKA	2013.4237	0.00000
KIRL	2013.4237	0.00000
KOMO	2013.9849	0.00000
KORI	2013.4209	0.00000
KRU1	2013.4209	0.00000
KRYO	2014.2615	0.00000
KYMI	2015.0418	0.00000
LEMN	2013.4209	0.00000
LES4	2015.0418	0.00000
LYGO	2015.0691	0.00000
MET0	2013.4209	0.00000
NOA1	2013.4209	0.00000
NVRK	2013.4209	0.00000
ORE1	2013.4209	0.00000
PRKV	2013.4209	0.00000
PRO2	2013.9849	0.00000
PTOL	2013.4209	0.00000
ROZH	2013.4209	0.00000
SALH	2013.4237	0.00000
SAN9	2013.4209	0.00000
SARY	2013.4237	0.00000
SERR	2013.9466	0.00000
SKOP	2013.4209	0.00000
SKYR	2013.4209	0.00000
SMOL	2013.9877	0.00000
SPET	2013.4209	0.00000
STRA	2013.4209	0.00000
SVIL	2013.4346	0.00000
SVRT	2013.4209	0.00000
SYRO	2013.9685	0.00000
TEKR	2013.4237	0.00000
THI1	2013.4209	0.00000
THS1	2013.9466	0.00000
VDVA	2013.4812	0.00000
VERI	2015.2060	0.00000
VOLO	2013.4209	0.00000
XIOS	2013.9466	0.00000
YENC	2013.4237	0.00000
YLDZ	2014.6229	0.00000
YSST	2013.4209	0.00000
U
AFYT	2015.0144	766.79737
ALE3	2015.0418	0.00000
ANAV	2015.0144	541.09467
ANDR	2015.0144	484.58259
ATAL	2015.0007	507.81632
AUT1	2015.0007	521.20395
AYD1	2015.0007	485.63961
AYVL	2015.0007	512.32419
BALK	2015.0007	500.30392
BAND	2013.3936	0.00000
BNDR	2015.0007	1000.00000
CANA	2015.0007	499.18782
CESM	2015.0007	494.57569
DEIR	2015.0007	500.86565
DUTH	2015.0007	515.83133
DYNG	2015.0007	508.93386
EDES	2015.0144	607.44443
EDIR	2015.0007	494.71465
FLO2	2014.2642	0.00000
GOD1	2015.0445	0.00000
HALK	2015.0144	515.94460
HAR3	2014.4148	0.00000
IPS1	2015.0007	1000.00000
IPSA	2014.0014	1000.00000
ISTI	2015.0144	862.22456
ISTN	2015.0007	487.71951
IZMI	2015.0007	512.18530
KAL1	2015.0281	988.72096
KAL2	2015.0144	1249.84287
KATE	2015.0007	524.19240
KAV1	2015.0418	563.53125
KIKA	2015.0007	505.43100
KIRL	2015.0007	506.41674
KOMO	2015.0144	850.01000
KORI	2015.0144	516.31384
KRU1	2015.0144	528.63820
KRYO	2014.2752	-523.71542
KYMI	2015.0418	0.00000
LEMN	2015.0007	514.55262
LES4	2015.0418	0.00000
LYGO	2015.0691	0.00000
MET0	2015.0144	522.34039
NOA1	2015.0007	513.33915
NVRK	2013.4209	0.00000
ORE1	2015.0144	535.64884
PRKV	2015.0007	496.37007
PRO2	2015.0418	840.24212
PTOL	2015.0144	521.45076
ROZH	2014.0014	896.08079
SALH	2015.0007	506.68965
SAN9	2015.0007	509.76020
SARY	2015.0007	505.70532
SERR	2015.0226	719.89760
SKOP	2015.0144	524.24523
SKYR	2015.0007	535.07643
SMOL	2015.0144	1181.78338
SPET	2015.0144	510.16997
STRA	2014.0014	768.28874
SVIL	2015.0144	536.03458
SVRT	2013.3936	0.00000
SYRO	2015.0144	818.08329
TEKR	2015.0007	505.26018
THI1	2015.0144	525.26412
THS1	2015.0144	755.31351
VDVA	2014.3217	1000.00000
VERI	2015.2060	0.00000
VOLO	2015.0144	503.07292
XIOS	2015.0144	762.68506
YENC	2015.0007	502.51298
YLDZ	2014.5818	0.00000
YSST	2015.0034	675.14043
EQ6.1
E
ABEL	2015.8631	0.00000
AGRI	2014.9268	0.00000
